Category: All categories

Month,Electric vehicle: (United States)
2004-01,10
2004-02,10
2004-03,12
2004-04,15
2004-05,14
2004-06,12
2004-07,12
2004-08,11
2004-09,11
2004-10,11
2004-11,10
2004-12,10
2005-01,9
2005-02,9
2005-03,12
2005-04,13
2005-05,12
2005-06,10
2005-07,9
2005-08,15
2005-09,17
2005-10,12
2005-11,10
2005-12,8
2006-01,9
2006-02,10
2006-03,9
2006-04,15
2006-05,15
2006-06,14
2006-07,20
2006-08,18
2006-09,14
2006-10,12
2006-11,12
2006-12,13
2007-01,14
2007-02,14
2007-03,15
2007-04,16
2007-05,23
2007-06,18
2007-07,16
2007-08,13
2007-09,14
2007-10,14
2007-11,19
2007-12,15
2008-01,16
2008-02,16
2008-03,20
2008-04,25
2008-05,37
2008-06,41
2008-07,32
2008-08,24
2008-09,20
2008-10,19
2008-11,17
2008-12,17
2009-01,16
2009-02,15
2009-03,15
2009-04,19
2009-05,17
2009-06,16
2009-07,15
2009-08,19
2009-09,16
2009-10,16
2009-11,17
2009-12,17
2010-01,16
2010-02,17
2010-03,18
2010-04,20
2010-05,18
2010-06,16
2010-07,16
2010-08,14
2010-09,14
2010-10,16
2010-11,16
2010-12,16
2011-01,17
2011-02,17
2011-03,21
2011-04,21
2011-05,18
2011-06,15
2011-07,14
2011-08,13
2011-09,13
2011-10,16
2011-11,16
2011-12,13
2012-01,13
2012-02,16
2012-03,17
2012-04,16
2012-05,15
2012-06,14
2012-07,15
2012-08,13
2012-09,14
2012-10,15
2012-11,14
2012-12,13
2013-01,13
2013-02,14
2013-03,15
2013-04,15
2013-05,16
2013-06,16
2013-07,16
2013-08,16
2013-09,16
2013-10,18
2013-11,19
2013-12,16
2014-01,16
2014-02,17
2014-03,16
2014-04,16
2014-05,18
2014-06,15
2014-07,17
2014-08,16
2014-09,18
2014-10,16
2014-11,16
2014-12,16
2015-01,15
2015-02,15
2015-03,14
2015-04,14
2015-05,15
2015-06,14
2015-07,14
2015-08,14
2015-09,15
2015-10,15
2015-11,13
2015-12,14
2016-01,13
2016-02,13
2016-03,13
2016-04,15
2016-05,13
2016-06,13
2016-07,14
2016-08,14
2016-09,14
2016-10,15
2016-11,4
2016-12,3
2017-01,3
2017-02,3
2017-03,3
2017-04,3
2017-05,3
2017-06,3
2017-07,4
2017-08,4
2017-09,4
2017-10,5
2017-11,4
2017-12,3
2018-01,3
2018-02,4
2018-03,8
2018-04,7
2018-05,9
2018-06,9
2018-07,10
2018-08,6
2018-09,5
2018-10,5
2018-11,6
2018-12,6
2019-01,9
2019-02,8
2019-03,9
2019-04,10
2019-05,9
2019-06,8
2019-07,9
2019-08,11
2019-09,10
2019-10,11
2019-11,13
2019-12,11
2020-01,11
2020-02,20
2020-03,8
2020-04,5
2020-05,6
2020-06,7
2020-07,11
2020-08,10
2020-09,11
2020-10,13
2020-11,15
2020-12,17
2021-01,23
2021-02,34
2021-03,36
2021-04,41
2021-05,37
2021-06,43
2021-07,40
2021-08,40
2021-09,35
2021-10,41
2021-11,62
2021-12,43
2022-01,49
2022-02,63
2022-03,100
2022-04,79
2022-05,61
2022-06,86
2022-07,78
2022-08,83
2022-09,70
2022-10,67
2022-11,60
2022-12,68
2023-01,70
2023-02,70
2023-03,60
2023-04,68
2023-05,62
2023-06,61
2023-07,66
2023-08,62
2023-09,67
2023-10,64
2023-11,60
2023-12,57
2024-01,62
2024-02,56
2024-03,60
2024-04,62
2024-05,61
2024-06,60
2024-07,61
2024-08,61
2024-09,62
2024-10,60
2024-11,58
