Comment,Anonymized Author,Published At,Likes,Reply Count
"Ya this is an good invention that we drive ev cars through non-chargable and no time wasting as well.but,how we park the cars in in our home so,we need these electrical lanes in our home i don't know that it will recharge while driving through the road on the electric lanes.if we said it as a fool just sorry for that.but,in the future,one thing that sure that people can't not walk the road because there are electricals these lanes if some one walk there he should being shocked and die..... Technology is flying they will find solutions.....just hope and AWARE ....😂",667e8d19fa9123ecadb71631917bbbc2,2023-12-06T09:54:19Z,0,0
"Let car be charged while you may drink a cup of coffee, a simple coffee shop is much cheaper than a road",7ddfba69037c0d749088d184f0fab66a,2023-12-05T03:17:25Z,0,0
Is.that the car stops charhing better than up and running under a roof from.raining etc ...thats a charging station 😂,7ddfba69037c0d749088d184f0fab66a,2023-12-05T03:08:28Z,0,0
😂how much of invetsment of.this instead of a normal ev charging station.,7ddfba69037c0d749088d184f0fab66a,2023-12-05T03:04:52Z,0,0
"what will happen if an accident happens and a man goes under the car 
it might give an electric shock to that man and he will simply die.",e673dba59001bbeacd4ae6d6fa09f3f2,2023-12-04T15:47:42Z,0,0
Thailand! SoftPower Prostitute & Human trafficking and SoftPower Satellite Mind Control Bioelectric  Voice To Skull,70488aef13f3f3634303ec5393ad7bd6,2023-12-04T11:45:33Z,0,0
"This ev stupidity just keeps escalating. This is just a variation of electric streetcars. Are we going backwards in technology? And what happens when there is snow, ice or mud or rocks or an oil spill on the tracks? And what if those things under the car get caught by something on the road? What if there's an earthquake or flood?  The real problem is the govt forcing this ev bs on people.",14431921eb1c435cee28242fb0cf530d,2023-12-02T17:23:41Z,0,0
Unbelievable! I like this project! Come on in France to test this,ae3785473e81fc79528d838c2a048279,2023-11-29T20:40:20Z,0,0
"MShung sends my regards to my brother, former Prime Minister Cameron. It's been a long time since I last saw you in the media. I send my regards to you and your family, my brother.",7bf32d281768bcfbfe736123e9c0abbd,2023-11-28T00:09:47Z,1,0
😮,d490c9ce2bc40acd6ec4fabd579b5f4d,2023-11-27T20:07:46Z,0,0
Quá hay,701309d5cb4a635333e4183c474f755e,2023-11-26T15:01:50Z,0,1
Quá hay very good,701309d5cb4a635333e4183c474f755e,2023-11-26T15:00:41Z,0,0
Nice concept however the initial cost will be huge and hope consumption charges for the end user will be similar to the charges required to recharge the batteries. Furthermore would like to know whether it will make any problem during raining.,00b33b396cd12b4ba726ad7efb65e21a,2023-11-17T04:43:58Z,0,0
"This is an excellent idea to get charge while drive, but there a bit probability of misusing the electricity from the road. Because the electricity is lying over the road and anybody  with a knowledge can hack the system.",e6abf505d02748861b0a86874a9e7b15,2023-11-16T18:00:38Z,0,0
Giant scalextric set.,33604ec553b236edfa4bd156d361be8c,2023-11-11T11:44:33Z,0,0
I think we all know how fast a battery deteriorating when we use an electrical devices while charging it at the same time.,0ddba8c2641e48df19818c30e4d46306,2023-11-11T05:13:58Z,0,0
This is too costly and impractical when even asphalt is underfunded for repair in many developed countries.,bb37b624774b04e1669282f427a6a1f4,2023-11-06T21:31:07Z,0,0
Great new!,81431fae71acfe791c4750ce6f18b41e,2023-11-05T17:40:02Z,0,0
Let's hope this doesn't negatively affect battery health,630023fc4638f8f92a3bff3897afce72,2023-11-04T19:35:49Z,0,0
i wonder how to power the electric roads ? from the grid?,0247711d5675c4c1c1fb8f8172890be1,2023-11-04T05:04:01Z,0,0
Elonroad?,0530b3f62f9d4c57307bbc3be601d141,2023-10-31T00:39:15Z,0,0
"This is a brilliant idea. It could be even more beneficial when we start using it on public transport. However, there might be a downside: it could increase energy loss and be dangerous during the rainy season.",1204b5fdc72d6d279c2c603d13d51cc4,2023-10-28T17:36:45Z,2,0
Extremely stupid idea. Solar roof on the car will soon fix this problem.,162d87e92f94c759416bc675baf9fa6a,2023-10-26T22:38:39Z,0,0
How about making entire bus length panels the cars drive on that can be replaced and cheaper then concrete and asphalt.,10240c2d97303f6ed222e932e58fa415,2023-10-22T14:01:00Z,0,0
I don't think that re-inventing the railroad is a win for humanity. 🙄,b43d7e68baee7059bf261fa76d81385b,2023-10-21T19:09:19Z,0,0
Why can't we have wireless electricity powerful enough to run a car?,fd98ef4f11cb946601e5b9eb1b453e4a,2023-10-21T00:22:27Z,0,0
"This invention would be adapted whole countries in world future, better vehicle being charging while driving than a station for charging.",ce82a1872ae96fba4b810cc3cedecd19,2023-10-18T18:49:40Z,0,0
"They not telling you it's going to cost to drive on it, and it will strain the electric Grid and have more blackouts",760c06007644512706bb7b7651a489b0,2023-10-16T01:36:09Z,0,0
"The idea was great, but was underground electricity safe for commuters to cross the road safely during monsoons?",b712f1a324f46a6325f672baeef80ce8,2023-10-13T23:29:16Z,0,0
Most advanced and well useful technology . But it doesn't even reached in the several parts of the world and most of them doesn't even know about this. . I hope that this is one of the most advanced and useful one.,18ee32d6d91e8f67d239d0157dde53d8,2023-10-09T16:20:10Z,0,0
For now Ev is a expensive toy that's it!,9644e5e22bfc9435e78fc02f45536c79,2023-10-07T17:44:08Z,0,0
On top there will be a roof of solar panels that will power the road for free.,f850549553894e06b824b7204c3d1ed4,2023-10-03T21:14:26Z,0,0
"If technology advances at an exponential rate, wouldn't it be reasonable the say that by 2030 science will have a solution to climate change, why are Governments panicking? 
Or could it be that we have unreleased technology but its about global UN/WHO population control?",564f5c795f116f1e29d2f5161208ed72,2023-10-03T20:03:48Z,0,0
Aswome technology.But I think wireless charging should be more conveninet like wireless phone charging.And also solar panel supporting system is intriduced to charging the rail.,c561eb6ad660f6a65e0c837fa5b70edd,2023-10-01T02:58:42Z,0,0
"Charging using power from nuclear and fossil fuels power stations., All while getting the colbolt and lithium for the batteries from child slave labour in the Congo and South America.
Humanity 👏",f5d24f1d824afc53fc84310fad3f6804,2023-09-28T13:18:58Z,0,0
"one day this war will end, but even in 100 years Ukraine will not forgive russia.",e1612f6bbb1a8c55250031d3f63c762a,2023-09-27T20:24:20Z,0,0
"What if .. 👨‍🚒👩‍🚒🚒🔥🔥🔥 😅
And in Indian roads 🤭😅",05b1537c83b2230d00eb8c9c77f47b0d,2023-09-23T17:34:14Z,0,0
"Please Help me to share the story about sadness and discriminalition indonesian gouverment at Rempang island...

Human rights violations were committed by Jokowidodo and his Ministers, because they were forced to evict residents who still wanted to defend their territory only for forced investment because their term of office would end next year.

and also an overview of Jokowi's initial campaign promises on Rempang Island in 2019 (election)
#BBCNEWS",bed6d4302818725051769562991404d5,2023-09-23T13:42:22Z,0,0
Aint happening,32b2c2427c36f2814e145ab23d3124fd,2023-09-22T18:07:18Z,0,0
Very smart innovation.,bb3dd4678b7ec443c8a55070585e7ce1,2023-09-22T11:35:38Z,0,0
Are we going back to the he Jetsons? Roads for cars that NEVER go outside the city centre.  And for 1000km long gravel roads? And don't dare walk behind a car or tttthhhzzzzzttttttttt,f4574238145a39511b698b7ebe181bdd,2023-09-20T22:08:42Z,0,0
"Let us not wear shoes.
Let us spread leather all over sidewalk.
Im an innovator now 🤓",3736a2e48aaa549cff8e7b36370498d9,2023-09-20T04:17:08Z,0,0
i dnt think so this is the finest solution becouse we want spped when we are vharging we need fastest charging solution thats need in ev secment,de82ff7c06f325824d1b3193652ac8a5,2023-09-19T08:29:20Z,1,0
Invest in nice public transport. Why not commute by train during the week and then drive your classic sports car on the weekend?,9ac20e15b85b2695cd8259371388f976,2023-09-17T22:52:46Z,0,0
