Comment,Processed_Comment
"*WATCH PART 2 AFTER!* It includes an efficiency discussion: https://youtu.be/oJL9MasBFvM

*IMPORTANT NOTE:* Obviously, I should have discussed efficiency, as I have in almost every video where I discuss EVs. EVs are often 3-4x as energy efficient, meaning you need *less* energy total to move a certain distance (compared to the very best diesels, they're about 2x as efficient). That's why a ""3 gallon"" tank Tesla can drive 350 miles. Again, as mentioned in the video, the sweet spot right now is EV passenger cars. When you talk about towing, freight trucks, trains, planes, etc, the weight gain is not offset by the efficiency gain. Don't believe me? Here's the math: https://youtu.be/S4W-P5aCWJs
*UPDATE TWO:* I hope no one interprets this video as electric cars aren't cleaner/more efficient/better for the environment. They most certainly are: https://youtu.be/6RhtiPefVzM. Also an important consideration if you're in the market for an EV is buying the range that you need. A smaller battery has a significantly lower impact than larger batteries, and will offset its carbon footprint much faster. Obviously, this will result in lower range (city commuting, multi-car family, etc).",watch part 2 includes efficiency discussion important note obviously discussed efficiency almost every video discuss evs evs often 3 4x energy efficient meaning need less energy total move certain distance compared best diesels 2x efficient 3 gallon tank tesla drive 350 miles mentioned video sweet spot right ev passenger cars talk towing freight trucks trains planes etc weight gain offset efficiency gain believe math update two hope one interprets video electric cars cleaner efficient better environment certainly also important consideration market ev buying range need smaller battery significantly lower impact larger batteries offset carbon footprint much faster obviously result lower range city commuting multi car family etc
Obsolete video alert,obsolete video alert
"Thanks for the video, have you got a 2024 figures and battery stats ?",thanks video got 2024 figures battery stats
"What is going to kill the ev industry is the insurance companies. How? Sometime into the future an ev buyer from the dealer showroom will call their insurance company agent and with excitement tell their agent that they are buying an ev and they currently pay day 1000 a month. Buying that ev is going to cost 4 or 5000 dollars a month because when an ev starts on fire in a garage it burns the house down and the neighbors house and kills someone.  So when an ev starts on fire and 20 other cars also go up in flames and when you can’t park your 100k dollar car in your own garage or any garage or any covered parking lot, you in essence make the ev very unaffordable to especially the person who can barely afford the car in the first place. Insurance companies are already prohibiting ev owners from charging their ev’s indoors and some don’t want you to even park ev’s indoors. At the end of the day, insurance companies will make ev’s unaffordable to operate. If you can’t afford the insurance, you can’t drive or operate one.",going kill ev industry insurance companies sometime future ev buyer dealer showroom call insurance company agent excitement tell agent buying ev currently pay day 1000 month buying ev going cost 4 5000 dollars month ev starts fire garage burns house neighbors house kills someone ev starts fire 20 cars also go flames park 100k dollar car garage garage covered parking lot essence make ev unaffordable especially person barely afford car first place insurance companies already prohibiting ev owners charging ev indoors want even park ev indoors end day insurance companies make ev unaffordable operate afford insurance drive operate one
7:00 you didn’t metioned that even when the energy density in gasoline car is bigger combustion engine still only uses 25% of the energy to spin the wheels and electric motors uses more than 99%!,7 00 metioned even energy density gasoline car bigger combustion engine still uses 25 energy spin wheels electric motors uses 99
Also the EV`s is a solution to a problem (real pollution not Co2) that only exist in larger cities...,also ev solution problem real pollution co2 exist larger cities
"ICE is dead, it just didn't get the memo yet. When the good batteries solutions will exit the drawers and get produced it is game over for ICE.",ice dead get memo yet good batteries solutions exit drawers get produced game ice
Would be great to see you remake this video based on the tech today,would great see remake video based tech today
"You are very smart! I love your channel, very informative and thank you. What is your name EE? I'am Steve from the Great White North (London Ontario Canada) Super cool content!",smart love channel informative thank name ee steve great white north london ontario canada super cool content
I am watching this in 2024 and can say that this aged well.,watching 2024 say aged well
